PRO_COM;NOME;a1_1;a1_2;a2;a3;a4;a5;a6;a7;b1_1;b1_2;b2_1;b2_2;b3;b4;b5;b6;b7;b8;b9;c1;c2;c3;c4;c5;c6;c7;d1;d2;d3;d4;d5;d6;d7;d8;e1;e2_1;e2_2;e3;e4;e5;e6;f1;f2;f3_1;f3_2;f4;f5;f6;f7;f8;g1;g2_1;g2_2;g3;g4;g5;g6;g7;g8;g9;h1;h2;h3;h4;h5;h6;h7;i1;i2;i3;i4;l1;l2;l3;l4;l5;m1_1;m1_2;m2_1;m2_2;m2_3;m3_1;m3_2;m3_3;m4;n1;n2;n3;n4;n5;n6;n7;n8;o1_1;o1_2;o2_1;o2_2;o3;o4
28092;Torreglia;-0,4;4,3;1,3;7,3;0,6;-1,6;2,2;0,2;267,1;1395,0;15,5;0,15;8409,2;73,6;46,5;488,8;44,2;14,1;13,8;5,7;146,4;134,9;0,6;0,0;5;2;52;293,5;67,6;0;0,85;0,19;5,4;0,24;21,6;0;0;0;0;0;0;0,0;3;0;3;0,0;-0,06;0,2;11,1;0,0;0,6;0,0;0,0;10,2;6,2;19,7;5,4;0,7;18,9;0,0;0,3;3,7;9,5;0,2;0,4;99,8;28,4;5,3;8975,9;2,1;2061,8;0,1912;77,0;55,0;91,6;1,42;0,077;0,00;1,0;33;2;1,3;75;4;0;474,8;72,7;337,4;13,6;77,4;74,3;4,4;12,8;6,223;13,8;0;0;0;0
28093;Trebaseleghe;0,3;15,4;1,2;0,9;2,8;-0,1;3,2;0,1;354,9;1733,2;25,5;0,17;6711,8;65,8;66,1;541,3;38,0;20,4;21,8;11,7;97,7;112,8;0,8;0,0;9;6;54,4;197,1;69,2;0;0,86;0,34;5,2;0,30;1,5;0;0;0;0;0;0;10,9;3;0;3;0,0;-0,02;0,2;10,2;0,1;1,1;0,0;0,0;10,0;6,6;17,5;6,3;0,9;19,2;0,0;0,4;6,5;11,8;0,0;1,4;99,7;24,4;10,2;8113,0;2,5;2797,0;0,1861;91,3;35,7;88,6;1,55;0,128;0,00;0,0;0;0;0,1;8;1;0;481,1;84,2;334,7;18,1;32,8;64,1;11,8;11,5;5,302;10,5;0;0;0;0
28094;Tribano;-0,2;7,8;-1,2;7,0;6,6;-8,3;3,0;0,1;204,5;1708,9;24,7;0,16;8024,4;73,9;85,9;448,9;41,8;14,3;17,5;9,7;124,8;126,8;0,8;0,0;8,6;3;52,4;246,2;66,1;0;0,82;0,18;4,4;0,31;2,9;0;0;0;0;0;0;0,0;4;0;3;0,0;-0,08;0,2;9,7;0,2;1,5;0,0;0,0;12,6;7,7;20,9;6,8;0,9;19,0;0,0;0,6;4,8;18,1;0,1;0,5;99,6;24,9;7,6;8561,2;2,5;2962,1;0,1898;87,8;62,2;84,9;1,61;0,062;0,00;0,0;0;0;3,0;109;4;0;535,0;90,3;419,3;12,4;61,9;70,1;3,7;11,2;4,868;11,8;0;0;0;0
28095;Urbana;-0,5;0,2;0,0;14,0;5,7;-13,3;1,3;0,1;114,0;1317,8;33,7;0,22;6266,4;71,2;64,7;701,8;56,3;12,9;5,7;1,4;172,9;128,8;0,8;0,0;6,7;2;51;294;66,3;0;0,82;0,31;3,4;0,19;13,2;0;0;0;0;0;0;14,7;4;0;1;0,0;0,03;0,5;9,2;0,5;0,0;0,0;0,0;8,0;7,2;20,5;6,6;1,4;23,9;0,0;0,0;5,9;13,5;0,2;0,8;99,4;29,8;3,8;9253,2;0,9;3902,2;0,1855;84,6;126,8; #N/D;1,59;0,077;0,00;0,0;0;0;0,0;0;0;0;852,6;92,0;406,7;18,2;55,1;72,3;3,8;10,7;3,048;8,6;0;0;0;0
28096;Veggiano;0,8;43,5;4,6;5,9;-2,9;-8,3;3,4;0,1;238,3;1765,4;44,5;0,13;8028,4;75,6;30,0;377,4;39,1;12,2;34,9;42,6;51,9;117,2;1,2;0,0;11,7;2;64,1;225,1;71;0;0,84;0,15;4,3;0,74;5,1;0;0;0;0;0;0;10,3;4;0;3;0,0;-0,04;0,2;8,0;0,2;0,7;0,0;0,0;7,7;5,7;15,7;5,3;0,8;24,1;0,0;0,3;6,0;5,0;0,1;0,9;99,7;18,0;9,2;8301,7;3,1;3055,5;0,1689;100,2;32,8;130,4;1,37;0,099;0,00;0,0;0;0;8,5;48;24;0;520,6;92,7;341,6;11,8;71,1;67,2;6,5;13,3;3,918;12,1;0;0;0;0
28097;Vescovana;1,4;4,3;-1,2;-4,1;13,1;-13,4;1,1;0,2;54,4;840,1;35,2;0,27;8927,7;73,1;53,2;597,4;44,2;9,7;25,7;10,4;186,1;125,0;0,4;0,0;6,1;2;50,1;257,4;66,7;0;0,83;0,13;3,7;0,01;4,0;0;0;0;0;0;0;0,0;3;0;4;0,0;-0,09;0,6;12,9;0,6;0,4;0,0;0,0;7,9;5,2;20,6;4,3;0,7;23,8;0,0;0,1;2,5;22,5;0,0;0,6;99,3;25,6;3,4;9341,8;1,9;1685,8;0,1682;72,0;91,3;170,0;1,51;0,064;0,00;0,0;0;0;0,0;0;0;0;962,7;93,6;401,7;6,8;67,3;78,8;1,6;12,9;8,387;17,4;0;0;0;0
28098;Vighizzolo d'Este;-0,6;-2,5;-0,7;11,5;7,0;-14,4;1,3;0,2;42,4;787,6;33,0;0,19;6007,6;74,3;92,7;885,8;55,5;6,5;18,0;5,8;187,9;128,3;0,8;0,0;8,3;1;50;268,3;66,8;0;0,88;0,15;3;0,07;7,5;0;0;0;0;0;0;64,0;3;0;3;0,0;-0,31;1,1;9,2;0,0;0,0;0,0;0,0;12,3;4,6;23,3;7,6;1,1;24,4;0,0;0,0;6,7;12,9;0,3;0,3;99,4;28,9;2,0;9599,8;0,4;4976,5;0,1673;121,9; #N/D;47,2;1,62;0,066;0,00;0,0;0;0;0,0;0;0;0;1401,3;94,0;370,7;11,2;66,4;73,4;0,8;11,4;3,604;8,3;0;0;0;0
28099;Vigodarzere;0,2;17,1;0,4;2,8;4,7;2,2;2,6;0,0;469,3;1563,1;25,4;0,08;8446,6;73,1;56,8;472,3;39,4;13,9;16,2;8,0;120,9;128,8;0,5;0,0;6,1;3;52,7;293,6;70,4;0;0,86;0,17;5,1;-0,02;1,4;0;0;0;0;0;0;10,3;4;0;3;0,0;-0,01;0,2;11,9;0,1;0,5;0,0;0,0;8,2;6,4;22,1;4,3;1,0;19,8;1,0;0,2;2,4;10,9;0,1;1,6;99,8;25,2;6,3;8794,0;2,2;2346,0;0,1925;82,8;45,7;108,1;1,41;0,102;0,00;0,0;0;0;4,1;243;10;0;345,9;88,5;311,8;12,2;61,4;75,6;10,1;12,9;6,724;13,8;0;0;0;0
28100;Vigonza;0,6;14,8;-1,2;7,5;7,5;-8,4;2,3;0,0;561,7;1542,3;8,8;0,06;7940,4;75,2;79,5;405,4;41,3;15,7;21,2;11,1;117,6;134,3;0,6;0,0;6,2;7;54,9;301,7;70,1;0;0,85;0,22;5,8;0,54;4,4;0;0;0;0;0;0;17,7;4;1;4;0,0;0,12;0,2;11,0;0,1;0,3;0,4;0,0;7,5;5,9;19,8;5,9;1,0;17,1;1,7;0,2;2,1;10,3;0,2;0,4;99,8;24,3;6,7;8733,2;2,1;2054,5;0,2025;85,5;42,5;148,0;1,43;0,086;0,00;0,0;0;0;5,6;511;24;0;383,9;84,0;421,4;10,7;73,7;69,7;11,0;14,6;10,997;16,6;0;0;0;0
28101;Villa del Conte;0,0;6,6;-0,1;9,0;6,6;-1,2;2,4;0,0;296,5;1134,2;36,2;0,19;7184,0;70,4;39,2;572,3;45,1;11,9;13,5;6,3;104,5;111,5;0,5;0,0;8,7;3;54,5;189,7;69,2;0;0,86;0,33;3,7;0,59;8,0;0;0;0;0;0;0;0,3;4;0;3;0,0;-0,16;0,4;10,5;0,2;0,5;0,0;0,0;14,6;4,8;17,5;6,0;0,6;18,0;1,0;0,2;7,0;12,3;0,1;0,5;99,4;28,7;8,2;8485,2;1,8;3287,2;0,1858;83,2;38,1;105,6;1,61;0,140;42,35;0,0;0;0;1,7;100;5;0;637,5;88,3;307,1;14,3;23,0;65,5;5,1;11,1;3,588;10,7;0;0;0;0
