;codice_provincia;provincia;variazione_pop_residente;densita_umana;dispersione_abitazioni;mobilita_privata;sottoutilizzo_abitazioni;densita_commercio_dettaglio_sede_fissa;attrattivita_residenziale;vecchiaia;verde_urbano_pro_capite;coppie_giovani_con_figli;occupazione;ricambio_occupazionale;presenza_universitaria;pendolarismo;mobilita_residenziale;dinamismo_economico;tasso_funzione_ricettiva;visitatori_luoghi_cultura;luoghi_cultura;poli_fieristici;stadi;intrattenimento;hub_commerciali;digital_divide;stazione_silver;stazioni_accessibili;posti_letto_ospedale;dinamismo_pa;mobilita_pubblica;biblioteche;abbandono_scolastico_1grado;abbandono_scolastico_2grado;uscita_precoce_istruzione_formazione;disoccupazione;disoccupazione_giovanile;giovani_fuori_mercato_lavoro_formazione;famiglie_rischio_disagio_economico;anziani_soli;suicidio;affollamento_abitazioni;edifici_residenziali_pessimo_stato;servizi_abitazione;popolazione_straniera;coppie_miste;gini;occupazione_ita_straniera;occupazione_m_f;pericolo_frana;suolo_consumato_pro_capite;suolo_agricolo_utilizzato;rifiuti_urbani_pro_capite;mobilita_lenta;acqua_potabile;raccolta_differenziata;impianti_fotovoltaici;auto_e5_e6;cnr;centri_eccellenza
43;IS;Isernia;-0.3;384.5;0.15;67.4;36.2;101.5;4.5;142.9;0;6.5;44.2;358.5;1;0.8;7;0.11;3.1;8487;5;0;0;0;0;3.7;1;1;11;0.41;7.5;0.4;0;0.5;10.9;12.7;40.1;10.8;2.9;21.7;1;0.5;0.2;99.2;3;1.4;0.221;75.3;1.39;11.5;263.2;69.8;454.7;21.8;130.4;10.9;1.9;7.2;0;0
44;AQ;L'Aquila;-0.7;167.5;0.02;84;32;21.6;5.6;170.4;11;4.8;48.9;351.4;1;0.75;23.5;0.25;0.6;1167;7;0;1;2;2;1.8;1;4;5.1;0.86;10.1;0.2;0.1;1;7.3;7.6;26.3;7.1;1.2;24.5;4;0.5;1.5;99.6;4.5;1.9;0.2007;90.2;1.34;2;345.7;68.4;491.6;3.7;130.1;27.4;2.1;13.6;1;0
45;SP;La Spezia;-0.3;2079.9;0.02;54.6;23.3;80.5;8.5;235.5;0;5.6;44.5;374.3;1;0.86;7.5;0.4;3.9;0;9;0;1;2;2;0.6;1;3;6.2;0.59;19.7;0.2;0.4;1.9;12.1;8.7;31.3;9.9;1.4;31.5;3;0.6;3.5;99.7;9.4;2.8;0.195;74.6;1.46;12.2;155.4;33.2;501.5;24.3;109;35.3;3.7;15.1;0;0
46;OG;Lanusei;-0.7;134;0.1;66.2;37.4;64.8;-3.3;172;0;5.7;42.2;353.4;0;0.79;8.9;0.12;9.7;0;2;0;0;0;0;0;0;0;19.1;-0.07;2.5;0.2;0;0.7;23.3;16.2;42.6;10.2;2.7;25.8;0;0.6;0.2;99.2;0.6;0.5;0.1958;60.8;1.34;21.1;400.7;70.3;304.4;28.2;77.2;60.6;3.8;5.6;0;0
47;LT;Latina;1;468.8;0.12;75.6;30.5;32.5;7.8;123;6.5;6.2;45.7;320.6;1;0.86;5;0.41;1.8;0;9;0;0;1;2;2.1;1;1;7.9;0.69;9.8;0.1;0.1;1.4;11.9;12.2;37.2;10.4;2.7;23.5;6;0.5;1.2;98.9;5;2.1;0.2176;80.5;1.49;0;333.2;87;567;13.6;97.3;29.7;3.3;10.8;0;0
48;LE;Lecce;-0.1;541.6;0.04;74.2;47.2;44.9;3;186.1;8.3;4.2;40.5;384.9;1;0.79;7.8;0.57;3.8;0;10;0;1;0;1;0.6;1;4;11.2;1.47;5;0.4;0.3;2;11.2;14.8;42.7;11.7;3.4;28;5;0.3;0.9;98.9;4.5;1.6;0.2373;69.4;1.51;0;359.1;93.2;595.1;19.8;89.9;15.8;3.7;9.7;0;1
49;LC;Lecco;0;1411;0;60.1;26.9;62.8;8.3;188.9;0;5.5;47.2;325;0.5;0.88;7;0.86;3.9;0;7;0;0;0;1;0;1;4;14.8;0.84;13.1;0.2;0;0.8;12;6.3;24.8;6.6;1;29;4.3;0.5;1;99.8;7.8;2.6;0.2223;79.9;1.45;23.4;170.7;49.9;474.1;26.1;116.1;51.6;3.9;14.8;0;0
50;LI;Livorno;-0.2;1503.2;0.01;66.1;23.5;63.2;5;204.4;3.3;5.3;45.1;379.2;1;0.86;7.1;0.3;2.3;0;8;0;1;3;2;0.3;1;4;2.9;0.46;10.6;0.2;0.1;1.1;14.1;11;38.2;9.5;1.8;24.1;11;0.6;0.8;99.2;5.7;2.1;0.2;76.8;1.41;0.2;186.9;46.5;547.4;22.6;67.3;36.1;5;15.3;0;0
51;LO;Lodi;0.3;1290.8;0.01;50.7;29.6;54.3;10.6;184.3;6;6.4;48.8;328;1;0.87;6.4;0.58;3.1;0;6;0;0;0;0;0;1;4;7.1;0.56;16.7;0.2;0;0.8;9.9;6.8;26.5;8.2;1.3;31.1;3.3;0.6;1.4;99.7;11.3;2.6;0.2117;79.1;1.41;0;217.3;89.5;506.4;30.8;121.7;48.1;6.4;15.8;0;1
52;LU;Lucca;1;500;0.04;73.4;42;22.1;8.8;191.3;11.7;5.3;48.5;386.6;1.5;0.84;6.3;0.47;2.2;19035;11;1;0;0;1;11.9;1;4;5.3;0.52;8.1;0.3;0.1;2.3;10.2;8;29.4;8.3;1.4;25.5;4.7;0.3;0.7;99.2;7.9;2.9;0.2083;79.9;1.38;24;335.6;59;678.1;16.2;71;54.6;3;15.9;0;0
53;MC;Macerata;-0.2;562.1;0.1;71.6;37.5;58.9;8.1;205.5;16.7;5.7;47.9;351.9;1.5;0.84;6.6;0.46;2.2;0;4;0;0;1;1;0.8;1;4;11.5;0.6;9.5;0.9;0;1.1;9.7;8.5;27.2;7.8;1.2;25.8;3.7;0.4;2.5;99.6;9.2;2.6;0.2115;83.8;1.36;2.2;273.2;92.1;492;17.4;69.9;50.9;4.3;11.1;0;0
54;MN;Mantova;0.1;1062.7;0.02;56.1;38.2;38.6;8.2;237.6;10.7;5.8;47.4;428.2;1.5;0.84;9.3;1.13;5.4;175430;14;0;1;1;2;0;1;4;12.2;1.22;7.2;0.5;0.3;0.8;11.6;7.4;27.3;9.1;1.2;31.3;3.3;0.3;1.2;99.7;11.2;4.3;0.22;75.1;1.4;0;315.3;85.5;589.1;35.6;95.8;50.3;2.4;12.6;0;0
55;MS;Massa;-0.4;842.2;0.01;77.7;27.7;32.1;6.2;186.7;51.5;5.8;43.2;368.3;0;0.84;5.5;0.3;41.2;0;3;0;1;0;1;5.2;1;4;0.4;0.25;6.8;0.1;0.1;4.1;16.2;12.9;37.8;11.8;2.4;25.8;5;0.9;1.6;99.5;5.1;2.1;0.2002;77.9;1.52;66.2;286.2;70.6;805.4;13.8;102.2;25.8;6.6;15.3;0;0
56;MT;Matera;-0.1;170.1;0.03;73.7;28.2;51.2;2.4;126.6;0;6.9;44.3;302;0.5;0.83;6.8;0.24;1;35384;5;0;0;0;1;1.2;0;0;5.2;0.42;8.4;0.2;0.2;0.8;9.7;14.6;39.9;8.7;2.2;21.8;5.7;0.6;0.8;99.6;3;1.3;0.2093;71.9;1.56;2.4;344.9;92.8;471.6;17.2;106.2;22.9;1.2;8.7;0;0
57;ME;Messina;-0.3;1202.9;0.02;70;26.7;63.7;-2.2;149.1;0;7.6;35.6;390.5;1;0.83;6.5;-0.15;0.6;0;8;0;1;2;1;3.3;1;0;7.3;0.38;11.2;0.4;0.9;2.3;21.9;23.7;62.6;16.5;5.5;29.8;13.7;1.3;4.8;98;4.6;1.2;0.2152;58.4;1.67;1.1;151.8;76.2;473.3;17.2;82.6;6.3;3.5;8.6;2;0
58;MI;Milano;0.4;9063.5;0;37;23.5;98.1;4.7;196.3;9.3;5;50.8;370.3;8.5;0.83;7;1.58;2.6;663329;61;0;1;5;5;0;1;4;7;2.36;36.8;0.3;0.2;1.1;10.6;6.9;25.9;8.1;1.2;33.7;98.3;0.8;0.6;99.6;14.2;4.3;0.2635;70.1;1.32;0;77.8;91.7;491.4;25.6;160.6;42.5;3.7;19.5;7;1
59;MO;Modena;0.1;1161.5;0.04;67.7;36.3;40.3;8.2;173.1;12.6;6.3;51.4;353.5;1;0.86;8.5;0.84;1.4;814;29;1;1;1;3;0.2;1;4;12.7;0.98;9.9;0.4;0.1;0.8;12;7.5;27.5;6.9;1;26.4;18.3;0.6;0.4;99.7;13.5;3.4;0.2124;79.6;1.28;0;245.9;89.9;669;21.2;82;57.6;7.5;13.6;0;0
60;MB;Monza;0;3921.6;0;59.3;28.4;58.2;3.3;172.1;64.8;5.1;49.4;360.8;0.5;0.86;6.3;0.57;0;2184;2;0;1;0;2;0;1;4;9.3;1;15.9;0.1;0.1;1.4;8;7.1;27.2;7.3;1.1;27;8.7;0.5;0.2;99.7;10;3;0.232;73.4;1.38;0;133.9;85.8;411.3;23.9;116.2;54;5;15.8;0;0
61;NA;Napoli;0.3;9432.6;0;38.2;19.5;128.3;-5.2;114.4;7.3;7.9;31.8;375;5.5;0.81;4.1;0.08;1.3;1694911;56;1;1;4;2;0.2;1;4;6.2;0.84;25.7;0.3;0.7;2;28.1;27.8;67.5;22.8;9.5;24.5;32.3;3.5;3.9;99.4;3.3;1.3;0.2374;52.8;1.9;12.5;74.9;86.4;502;33.2;87.9;20.3;2.9;5.8;13;2
62;NO;Novara;-0.1;1102;0.01;58.2;33.5;41.5;6.6;173.6;0;6.6;47.9;326.8;1;0.87;6.9;0.42;1.4;0;7;0;1;0;1;1.4;1;4;6.7;0.64;15.3;0.1;0.2;0.9;17.2;9.5;32;10;1.7;31.5;9.7;0.7;0.3;99.7;11.5;3.2;0.2037;87.7;1.37;0;214.8;92.2;210.8;25.4;95.8;70.8;3.8;13.9;0;1
63;NU;Nuoro;0.4;218.9;0.02;68;36.3;58.6;-3.1;144.4;7.3;4.1;43.7;438;1;0.8;8.4;0.17;0.7;3065;5;0;0;1;1;0.1;0;0;10.1;0.43;4;0.2;0.3;3.1;18.9;16;47.4;10;2.6;23.6;3.7;0.6;0.8;99.4;1.5;0.6;0.1984;71.7;1.27;18;272.9;81.3;375.9;27.4;74.3;57.2;2.8;7.9;0;0
64;OT;Olbia;1.2;157;0.08;81.2;28.3;26.3;19.9;91.4;5.5;8.4;48.5;272;0.5;0.81;9.3;0.43;4.4;0;1;0;0;0;0;2.8;1;0;3.1;0.45;4.7;0;0.3;1.3;20.9;17.7;42.9;10.8;3.7;24.7;3.7;0.5;2;95.9;6.9;4;0.2115;93.6;1.45;0;506.9;76.2;947.9;12.6;100.5;25.4;1.7;8.9;0;0
65;OR;Oristano;-0.2;487.6;0.05;65.6;38.5;74.3;-0.9;194.4;0;3.5;42.9;453.9;1;0.81;7.4;0.44;5.4;0;3;0;0;0;0;0.3;1;0;9.9;0.53;4.3;0.2;0.3;1.4;19.9;16.1;49.3;9.2;2.4;23.5;2.3;0.1;1.3;99;1.6;1.4;0.2191;80.7;1.34;0;349.8;94.5;444;28.4;62.8;62.9;5.1;9;0;0
66;PD;Padova;-0.3;3078.5;0.01;57.7;43;34.5;6.5;205.2;2.7;5.2;48.8;402.8;1;0.82;7.3;0.97;3.8;0;10;1;0;3;2;0.4;1;4;10.3;1.4;13.8;0.7;0.1;1.1;7.5;7.3;27;7.4;1.1;27.3;18.7;0.3;1;99.8;12.9;2.9;0.237;71.7;1.37;0;215.8;94.4;616.5;27.9;87.4;45.9;19.2;14.4;4;1
67;PA;Palermo;0.6;4424.5;0;62.7;32.4;86.8;-5.4;119.3;7;9.3;34.6;363;1.5;0.83;5.9;-0.05;1.1;0;32;1;1;0;3;0;1;4;5.1;0.6;11.2;0.3;0.7;1.6;25.8;25;64.4;19.9;7.3;25.5;31.7;1.3;3.4;98.2;3;0.9;0.2293;56.9;1.76;12.6;92.9;91.1;500.5;25.1;91.5;10.1;4.7;9.1;1;1
68;PR;Parma;0.7;799.5;0.05;61.7;35.4;42.8;13.7;184.5;3.7;5.8;52.9;344;1;0.86;7.5;0.82;0.8;173552;27;1;1;2;3;1.1;1;4;8.1;1.16;11.9;0.7;0.2;1.2;10.3;5.6;22.2;7.3;0.9;30;21;0.4;1.1;99.6;11.5;3.2;0.2199;79.1;1.31;0;320.8;92.7;531.3;24.8;95.3;53;3.2;15.6;1;0
69;PV;Pavia;0.4;1506.4;0.01;55.3;29.8;58.4;5.2;245.6;0;4.2;47.9;395.2;2;0.86;6.9;0.42;1.9;0;13;0;0;0;1;0.6;1;4;23.6;1.36;18.7;1.9;0.4;0.8;11.4;5.8;25;8.5;1.2;32.5;6;0.4;0.8;99.7;8.3;2.6;0.2265;75.1;1.27;0;215.1;85.3;615.5;25.2;134.7;34.9;2.3;17.3;2;1
70;PG;Perugia;-0.2;413;0.07;75.7;35;26.5;10.4;165.9;11.9;6.6;49.2;347.2;2;0.83;7.5;0.46;1.4;91978;33;0;1;2;1;1.8;1;4;7.1;0.45;11.5;0.9;0.1;0.7;10.1;9.8;30.9;7.7;1.5;21.4;16.3;0.3;0.7;99.5;11.4;3.3;0.2126;82.5;1.31;0.1;304;70.7;606.9;10.6;75.9;57.7;4.9;12.5;1;0
71;PU;Pesaro;-0.1;827.2;0.06;69.8;34.9;47.4;6.7;183.5;4.5;5.3;49.5;380.3;1;0.84;6.1;0.65;7.8;0;10;1;1;1;1;0.7;1;4;6.4;0.28;7.8;0.1;0;1;8.3;8.2;28.7;7.3;1.2;22.4;8.3;0.3;1;99.4;7.6;2.6;0.2119;76;1.33;3.5;248.7;86;730;20.6;72.2;53.5;4.4;14;0;0
72;PE;Pescara;-0.3;4085.1;0;69.4;37.1;77.4;2.9;196.8;6.4;4.3;42.3;401.6;0.5;0.8;6.3;0.6;5;19858;7;0;1;0;1;0;1;4;6.2;0.69;9;0.1;0.1;1.5;10.8;11.9;38.9;10.1;2.2;24.7;8;0.4;1;99.7;3.6;2;0.2273;70.4;1.49;4.8;143.1;86.6;556.2;20.7;109;29;12.5;12.4;0;0
73;PC;Piacenza;-0.2;982.3;0.01;57.8;35;41.5;10.3;201.5;11.6;6.7;48.8;325.4;1;0.85;8.3;0.8;1.4;0;14;1;1;1;0;0.8;1;4;6.6;0.71;11.4;0.2;0.1;0.3;14.4;6.8;23.6;9.2;1.1;31.3;8.7;0.4;0.5;99.6;15.4;3.1;0.2115;76.8;1.41;0;321.1;90.7;690.7;29.7;93.8;55.1;4.1;14.9;0;0
74;PI;Pisa;0.2;728;0.02;61.2;34.7;46.8;2.7;230.4;63.5;4.3;47;407.7;3;0.83;7.2;0.67;9.1;14305;20;0;1;1;1;0;1;4;16.2;0.9;11;1.7;0.2;1;11.1;8.4;30.9;9.4;1.4;28;8.3;0.5;0.6;99.5;9.3;2.9;0.219;77.1;1.35;0;349.6;59.9;772.4;26.6;96.7;35.3;1.9;15.9;7;0
75;PT;Pistoia;0;393.3;0.08;70;37;35;8.7;202;5.6;5.6;47;373.9;0.5;0.86;5.7;0.32;0.7;16488;20;0;1;0;0;9.3;1;4;4.2;0.41;11.5;0.2;0;1;15;9;32.7;9.3;1.3;25.3;6;0.3;0.5;99.3;7.9;2.6;0.1951;82;1.42;7.9;312.5;52;591.1;17.3;58.9;36;1.8;15;0;0
76;PN;Pordenone;-0.2;1777.9;0.01;63.6;37.2;33.1;10.7;184;22.3;6.6;49.3;357.4;1;0.85;8.3;0.91;5.3;0;5;1;0;0;1;0.2;1;4;18.6;1.04;6.8;0.3;0;1.2;11.9;8.7;29.3;8.2;1.1;28.5;9;0.3;1;99.5;15.3;3.3;0.2124;80.2;1.37;0;294.2;88.4;535.9;28.3;77.8;77.2;13.9;14.6;0;0
77;PZ;Potenza;-0.3;463.3;0.09;76;27.8;39.8;-1.9;155.9;0;4.5;42.6;431;1;0.84;6.4;0.18;0.9;0;5;0;0;0;0;3.5;1;4;11.4;0.89;8.7;0.2;0.2;1.5;10.3;15.6;48.1;8.9;2.2;22.1;4;0.8;1.2;99.7;1.1;0.7;0.2127;76;1.45;9;273;77.5;412.1;12.9;106.6;20.3;2.3;8.3;0;0
78;PO;Prato;0.3;1895.5;0.01;71.2;29.6;47.9;8.6;145.2;5.9;7.1;50.7;271.4;1;0.88;6.8;0.64;1.2;0;13;0;0;0;2;0;1;4;3.7;0.36;11.5;0.1;0.6;2.1;18.5;10.1;27;8.6;1.6;20.2;12;0.5;0.6;99.5;15.4;2.7;0.216;74.6;1.4;2.2;169.1;82.5;712.2;16.4;65.2;44.3;8.2;16.1;0;0
79;RG;Ragusa;-0.1;176;0.04;84.5;38.3;38.9;5.2;154.3;26.5;6.8;43.5;289.4;0.5;0.85;6.7;0.32;2.6;0;2;0;0;1;3;0.7;1;0;4.9;0.39;2.2;0.1;0.3;2.4;16.9;13.4;35.9;9.9;2.4;28.3;6;0.3;2;99.2;3.7;1.3;0.2206;74.5;1.57;0.2;656.6;91.2;488.1;11.9;80.5;25.3;2.5;8.4;0;0
80;RA;Ravenna;0.1;257.7;0.11;70;36.2;27.7;16.9;184.2;13.2;6.4;50.4;356;0.5;0.84;6.6;0.4;3.8;310180;22;0;1;6;3;2.1;1;4;5.1;0.53;7.4;0.3;0;0.8;12.3;6.4;23;8.8;1.1;26.2;11.3;0.5;0.9;99.6;9.8;3.6;0.1982;83.6;1.33;0;431.2;90.7;696.9;20.8;93.5;54.1;3.4;13.7;0;0
81;RC;Reggio di Calabria;-0.4;775.1;0.01;70.6;35.6;38.6;2.2;136;0;7.7;36.6;364.9;1.5;0.82;5.8;-0.11;0.5;11522;20;0;1;1;0;8.5;1;4;4.9;0.39;11.6;0.1;0.1;1;8.2;22.4;60.8;13.2;5.1;26.2;9.3;0.6;8.2;94.7;4.5;1.9;0.2071;67.9;1.55;2.2;179.9;63.9;443.8;14;134.6;7.8;3;8.2;0;0
82;RE;Reggio nell'Emilia;0.2;777.7;0.06;68.7;32;29.1;16.5;131.1;5.2;8.9;53.2;298.7;1;0.84;8;0.76;0.7;0;13;1;1;2;2;0.4;1;4;10.6;0.71;11.3;0.2;0.1;0.8;12.9;9.4;29.7;8.3;1.5;26.2;11.7;0.5;0.8;99.1;14.8;3.4;0.2062;87.5;1.35;0;287.8;92.8;650.6;19.2;68.5;56;4.9;19.4;0;0
83;RI;Rieti;0;251.7;0.06;73.3;31.6;36.7;6.9;180;7.1;4.9;45.6;420.9;2;0.85;6.4;0.14;1.7;0;2;0;1;0;0;4;1;2;8.1;0.36;10.4;0.2;0.1;1.2;9.5;10.7;37.4;7.3;1.8;25.4;3.3;0.3;0.8;99.7;3.7;2.1;0.1965;79.8;1.34;0.2;311.5;76.1;516.9;14.7;95.1;15.6;1.7;8.7;0;0
84;RN;Rimini;0.6;1279.5;0.08;67.4;28.3;69.1;11.4;169.5;3.6;6.3;48.6;329.3;0.5;0.84;6.8;0.8;39.6;0;9;1;0;3;3;0.1;1;4;6.6;0.66;8.8;0;0.2;1.6;10.5;8.3;24.7;8.5;1.6;25.6;10;0.5;0.9;99.7;9.8;4;0.2193;78.6;1.37;3;252.3;86.5;790.9;22.5;106.9;61.3;10.5;12.3;0;0
85;RM;Roma;0.8;2256.6;0.01;58;26.7;64.4;4.4;162.6;11.4;4.4;47.9;417.5;16.5;0.83;6.4;0.51;0.5;9067311;153;1;2;27;20;0.1;1;4;5.2;1.32;25.5;0.3;0.1;0.8;9;9.5;35.8;10.7;2.1;29.4;136;0.7;1.7;99.6;8.6;3.2;0.2414;77.9;1.32;0.1;109.5;76;612.9;15.1;111.1;29.7;5.1;17.6;16;4
86;RO;Rovigo;-0.3;537.2;0.04;64;40.9;32.7;9.2;203.2;0;5.1;49.7;379.7;0.5;0.86;5.7;0.56;1.4;0;2;0;0;1;1;3.6;1;4;13;0.58;9.9;0.1;0;1.5;9;7.5;26.2;6.8;1.1;27.4;3;0.2;1.2;99.7;7;1.8;0.1999;86;1.32;0;372.1;91.9;610.8;24.5;76.9;57.5;4.4;13.4;0;0
87;SA;Salerno;-0.5;2575.5;0.01;51.8;30.5;103.6;-2.8;187.7;3.6;3.9;37.8;468.7;1;0.81;5.4;0.34;2.2;17859;14;0;1;1;1;1.7;1;4;7.7;0.67;16.5;0.1;0.3;1.3;10.8;17.6;53.1;13.5;3.1;22.4;7.3;1.1;6.4;99.6;2.4;1.2;0.2227;55.8;1.56;22.7;150.4;70.4;459.2;29.8;100.2;65.1;3.1;9.5;0;1
88;VS;Sanluri;0;112.5;0.06;63.2;46.3;47;1.3;156.3;0;4.8;41.9;326.9;0;0.79;5.6;0.35;2.1;0;1;0;0;0;0;2.8;0;1;0;0.3;8.5;0;0;1;27.5;17.8;48;10.5;3.4;24.8;1;0.1;0.8;98.6;1;0.7;0.1984;74.8;1.64;0;462.6;94.6;374.7;25.2;69.6;65.1;2.1;7.5;0;0
89;SS;Sassari;-0.5;255.4;0.12;66.5;34.6;36.8;0.8;158.1;2.5;4.6;42.8;431.8;1;0.82;6.5;0.24;0.4;25265;7;0;1;0;1;1.4;1;0;8.1;0.66;10.4;0.7;0.4;3.5;19;17.7;50;11.1;3.4;24.5;10.7;0.6;4;98.7;1.9;1.1;0.2149;73.3;1.34;2.1;327.8;84.7;475.2;21.6;66.8;40.9;2.6;9.8;1;1
90;SV;Savona;-0.4;1041.5;0.01;55.3;28.9;88.1;8.6;252.9;0;4.7;44.5;383.6;0.5;0.84;7.5;0.41;5.9;0;9;0;0;0;3;2;1;4;17;0.53;14.6;0.3;0.1;1.1;11.5;8.1;26.5;7.7;1.3;33;3.7;0.5;3.6;99.5;8.3;2.5;0.1997;76.8;1.4;3.8;153.6;23.5;503.8;29.6;89.8;24.1;1.8;12.2;0;0
91;SI;Siena;-0.2;626.9;0.05;62.9;34.1;40.3;7.8;249.7;0;4.2;48.4;400.2;2;0.86;7.3;1.11;11.9;65343;42;0;1;0;0;0.8;1;4;13.7;0.93;14;0.5;0;0.6;6.9;5.7;24.3;5.2;0.7;24;4.3;0.3;0.1;99.7;7.6;2.6;0.2151;71.8;1.26;13.8;288.1;84.7;672.3;19.6;97.3;38.5;1.4;15;0;1
92;SR;Siracusa;-0.2;612.4;0.03;81.1;36.3;44;-0.3;136.7;13.2;7.5;38.3;306.3;1.5;0.82;6.6;0.01;3.5;0;11;0;0;2;1;0;1;1;4.2;0.39;4.3;0.1;1;1.7;18.1;17.9;48.1;16.6;4.6;25.5;4.3;0.9;0.4;97.5;2.7;1.5;0.2171;70.2;1.74;0;280.3;94.7;519.8;13.7;77.6;3;4.5;8.9;0;0
93;SO;Sondrio;-0.5;1410.9;0;42.5;30.6;76.1;7.1;189.2;0;5;48.1;396.9;0;0.83;7.5;0.81;7.5;0;2;0;0;0;0;2.2;1;4;14.4;0.68;3.2;0.5;0.9;0.5;8;7.3;28.7;7.2;1.4;32;4.3;0.1;0.5;99.8;7.3;2.5;0.212;86.9;1.38;28.6;195.5;76.6;471.4;53.1;113.7;40.1;6.8;11.9;0;0
94;TA;Taranto;1;929.2;0;59.8;30.9;35.2;-4.8;148.7;1.4;7.6;34.3;299.7;1.5;0.84;5.5;0.13;0.4;27186;5;0;1;0;3;0;1;4;5.1;0.7;12.1;0.1;0.1;2.2;20;19;53.7;18.5;5.1;27.4;8.3;0.8;2.7;99;0.8;0.7;0.199;67.2;1.92;0;252.5;89.5;526;27.2;95.8;10.2;3.5;8.2;0;0
95;OT;Tempio Pausania;-0.1;72.3;0.03;71.5;34.7;40.9;3.2;165.6;0;5.7;41.9;348.1;0;0.83;6.2;0.13;2.9;0;2;0;1;0;0;3.4;0;0;9.2;0;2.6;0.1;0;3.3;21.8;19.5;52.1;11.3;3.7;22.8;0;0.3;4.6;97.7;2.7;1.4;0.2052;77.1;1.49;0.8;465.3;53;535.5;24.9;59.7;53.5;0.9;6.2;0;0
96;TE;Teramo;0;408.3;0.02;71.7;40.2;54.3;3.4;173.7;0;5.2;46.3;373.8;1;0.85;5.9;0.27;1.1;0;6;0;0;0;1;7.5;1;2;8;0.37;12.8;0.2;0;0.8;12.3;9.7;33.5;10;1.6;23.9;4.3;0.2;1;99.6;4.9;1.6;0.2081;102;1.36;22.4;268.5;79.3;425.8;13.1;87.3;62.1;3.4;10.9;0;0
97;TR;Terni;-0.3;547;0.05;71;32.1;43;10.1;207.8;0;5.8;44.4;343.6;1.5;0.84;7.6;0.34;1.2;0;11;0;1;1;0;1.8;1;4;4.3;0.56;9.9;0.1;0.1;1.5;10.5;10.9;35.3;7.4;1.6;25.2;10.7;0.3;0.9;99.7;9.4;2.7;0.1981;72.9;1.42;0.4;240.6;64;569.4;17.6;73.5;40.2;3.9;10.7;0;1
98;TO;Torino;-0.3;7610.9;0;48;21.5;103.8;4.5;204.1;9.2;6.2;46;336.1;2;0.85;7.1;0.63;1.6;609986;57;1;2;4;6;0;1;4;5.1;0.78;28.4;0.3;0.2;1.4;13.7;9.8;33.4;11.2;1.7;32.4;75.7;0.8;0.6;99.5;12.7;3.2;0.2181;76.1;1.31;1.2;91.4;85.3;498.5;22.7;106;43.8;4.6;19.6;2;3
99;BT;Trani;0.8;528.7;0.01;55;22.7;86.9;-1.5;101.5;0;8.6;36.9;234.9;0;0.84;5.1;0.08;0;55818;4;0;1;0;0;0;1;3;0;-0.06;11;0;0.1;1.2;18.1;20.3;47.9;15.1;5.6;22.5;3;0.7;1.6;99.1;2.9;0.8;0.2268;73.4;2.19;0.2;312.2;95.3;594.3;32.2;75;23.9;2.6;5.5;0;0
100;TP;Trapani;-0.5;289.2;0.01;74.2;38.9;56.7;-0.8;138.9;0;8.1;35.3;292.7;0.5;0.79;6.5;0.25;0.9;0;1;0;0;0;0;1.3;1;0;0;0.29;6.8;0.1;0.3;0.6;20.4;18.8;49.6;19.4;4.9;29.6;4.7;0.7;2.7;94.1;2;0.9;0.216;76.3;1.96;0;297.9;95.7;645.8;16.7;94.5;18.5;1.6;8.1;0;0
101;TN;Trento;0.2;908.3;0.03;52.2;27.3;34.2;10.2;141.7;0;6.6;52.4;319.4;1.5;0.88;8.1;0.73;3.1;0;2;0;0;1;1;1.9;1;4;7.5;0.72;20.4;0.5;0;0;8.2;5.9;21.9;6.2;0.9;29.7;7.7;0.5;0.7;99.8;10.3;3.5;0.2149;84.6;1.31;23.4;247.3;36.4;447.5;25.2;113.6;72.7;9.8;58.9;0;0
102;TV;Treviso;0.2;1899.7;0.02;59;40.7;40.5;6.2;204.6;6.9;4.9;47.6;400.1;2;0.82;8.8;0.83;4.1;0;2;0;1;1;0;0.6;1;4;14.7;0.92;11.1;0.1;0.1;1.3;9.2;8.9;30.5;6.1;1.2;26.4;5.3;0.1;0.6;99.8;11.7;2.9;0.2349;74.9;1.44;0;259.1;89.9;583.5;28.8;86.7;54.1;15.1;14.8;0;0
103;TS;Trieste;-0.1;2481.2;0;54.2;22;55.1;6.1;249;4.5;4.9;45.3;401.9;2;0.87;7.9;0.39;3.3;1155289;38;0;1;3;1;0;1;4;5.2;0.46;25.2;0.7;0.1;1.2;11.5;9.3;31.8;6.7;1.1;35.2;12;0.3;1.5;99.6;7.9;3.2;0.2028;76.7;1.31;0.6;142.1;59;440.8;20;123.7;26.4;7.6;11.9;1;2
104;UD;Udine;-0.1;2264.1;0;62.9;39;24.4;8.6;212.4;3.9;6.2;48.3;348.6;1;0.83;9;0.52;5.3;0;5;0;1;0;2;0;1;4;12;1.79;11.4;0.5;0.2;1.1;11.5;8.7;29;8.1;1.2;32.6;7.3;0.3;1.1;99.8;13.3;3.3;0.2184;76.1;1.38;0;242.5;95.3;533.1;25;96.4;62.8;16.6;12.9;0;1
